all print will write to path record/postgresql/TPCH/execute_sql
====================start time: 2022-08-09-11:35:22====================
read 220 queries from ./db_benchmark_datasets/TPCH
try to load plan latency dict
load plan latency dict failed
1/210 query, 21_5.sql the 47 hint set, execute latency 3001.12570s, current 11 unique plans
1/210 query, 21_5.sql the 48 hint set, execute latency 21.75657s, current 11 unique plans
execute finished, the plans and exe latency saved
2/210 query, 10_6.sql the 0 hint set, execute latency 23.14311s, current 12 unique plans
2/210 query, 10_6.sql the 1 hint set, execute latency 23.14311s, current 12 unique plans
2/210 query, 10_6.sql the 2 hint set, execute latency 23.14311s, current 12 unique plans
2/210 query, 10_6.sql the 3 hint set, execute latency 23.14311s, current 12 unique plans
2/210 query, 10_6.sql the 4 hint set, execute latency 5.89094s, current 13 unique plans
2/210 query, 10_6.sql the 5 hint set, execute latency 23.14311s, current 13 unique plans
2/210 query, 10_6.sql the 6 hint set, execute latency 5.89094s, current 13 unique plans
2/210 query, 10_6.sql the 7 hint set, execute latency 5.89094s, current 13 unique plans
2/210 query, 10_6.sql the 8 hint set, execute latency 23.14311s, current 13 unique plans
2/210 query, 10_6.sql the 9 hint set, execute latency 23.14311s, current 13 unique plans
2/210 query, 10_6.sql the 10 hint set, execute latency 5.89094s, current 13 unique plans
2/210 query, 10_6.sql the 11 hint set, execute latency 5.89094s, current 13 unique plans
2/210 query, 10_6.sql the 12 hint set, execute latency 23.14311s, current 13 unique plans
2/210 query, 10_6.sql the 13 hint set, execute latency 5.89094s, current 13 unique plans
2/210 query, 10_6.sql the 14 hint set, execute latency 5.89094s, current 13 unique plans
2/210 query, 10_6.sql the 15 hint set, execute latency 23.14311s, current 13 unique plans
2/210 query, 10_6.sql the 16 hint set, execute latency 23.14311s, current 13 unique plans
2/210 query, 10_6.sql the 17 hint set, execute latency 23.14311s, current 13 unique plans
2/210 query, 10_6.sql the 18 hint set, execute latency 5.89094s, current 13 unique plans
2/210 query, 10_6.sql the 19 hint set, execute latency 5.89094s, current 13 unique plans
2/210 query, 10_6.sql the 20 hint set, execute latency 23.14311s, current 13 unique plans
2/210 query, 10_6.sql the 21 hint set, execute latency 5.89094s, current 13 unique plans
2/210 query, 10_6.sql the 22 hint set, execute latency 5.89094s, current 13 unique plans
2/210 query, 10_6.sql the 23 hint set, execute latency 5.89094s, current 13 unique plans
2/210 query, 10_6.sql the 24 hint set, execute latency 5.89094s, current 13 unique plans
2/210 query, 10_6.sql the 25 hint set, execute latency 5.89094s, current 13 unique plans
2/210 query, 10_6.sql the 26 hint set, execute latency 5.89094s, current 13 unique plans
2/210 query, 10_6.sql the 27 hint set, execute latency 26.32572s, current 14 unique plans
2/210 query, 10_6.sql the 28 hint set, execute latency 26.32572s, current 14 unique plans
2/210 query, 10_6.sql the 29 hint set, execute latency 11.08763s, current 15 unique plans
2/210 query, 10_6.sql the 30 hint set, execute latency 11.08763s, current 15 unique plans
exe error
2/210 query, 10_6.sql the 31 hint set, execute latency 3001.01703s, current 16 unique plans
exe error
2/210 query, 10_6.sql the 32 hint set, execute latency 3001.01452s, current 17 unique plans
